tconst,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes
tt0031455,The Hunchback of Notre Dame,The Hunchback of Notre Dame,0,1939,116
tt0031514,Daybreak,Le jour se lève,0,1939,93
tt0031580,The Little Princess,The Little Princess,0,1939,93
tt0031593,Love Affair,Love Affair,0,1939,88
tt0031647,Midnight,Midnight,0,1939,94
tt0031679,Mr. Smith Goes to Washington,Mr. Smith Goes to Washington,0,1939,129
tt0031725,Ninotchka,Ninotchka,0,1939,110
tt0031742,Of Mice and Men,Of Mice and Men,0,1939,106
tt0031750,The Old Maid,The Old Maid,0,1939,95
tt0031754,On Borrowed Time,On Borrowed Time,0,1939,99
tt0031762,Only Angels Have Wings,Only Angels Have Wings,0,1939,121
tt0031867,The Roaring Twenties,The Roaring Twenties,0,1939,106
tt0031885,The Rules of the Game,La règle du jeu,0,1939,110
tt0031951,Son of Frankenstein,Son of Frankenstein,0,1939,99
tt0031971,Stagecoach,Stagecoach,0,1939,96
tt0032138,The Wizard of Oz,The Wizard of Oz,0,1939,102
tt0032143,The Women,The Women,0,1939,133
tt0032145,Wuthering Heights,Wuthering Heights,0,1939,104
tt0032155,Young Mr. Lincoln,Young Mr. Lincoln,0,1939,100
tt0032156,The Story of the Last Chrysanthemum,Zangiku monogatari,0,1939,148
tt0032181,Abe Lincoln in Illinois,Abe Lincoln in Illinois,0,1940,110
tt0032186,You're Missing the Point,Ahí está el detalle,0,1940,112
tt0032194,"All This, and Heaven Too","All This, and Heaven Too",0,1940,141
tt0032234,The Bank Dick,The Bank Dick,0,1940,72
tt0032284,Broadway Melody of 1940,Broadway Melody of 1940,0,1940,102
tt0032325,Charlie Chan in Panama,Charlie Chan in Panama,0,1940,67
tt0032326,Charlie Chan's Murder Cruise,Charlie Chan's Murder Cruise,0,1940,76
tt0032338,Christmas in July,Christmas in July,0,1940,67
tt0032339,A Chump at Oxford,A Chump at Oxford,0,1940,62
tt0032342,City for Conquest,City for Conquest,0,1940,104
tt0032413,Dr. Ehrlich's Magic Bullet,Dr. Ehrlich's Magic Bullet,0,1940,103
tt0032455,Fantasia,Fantasia,0,1940,124
tt0032484,Foreign Correspondent,Foreign Correspondent,0,1940,120
tt0032551,The Grapes of Wrath,The Grapes of Wrath,0,1940,129
tt0032553,The Great Dictator,The Great Dictator,0,1940,125
tt0032554,The Great McGinty,The Great McGinty,0,1940,82
tt0032599,His Girl Friday,His Girl Friday,0,1940,92
tt0032617,I Love You Again,I Love You Again,0,1940,99
tt0032701,The Letter,The Letter,0,1940,95
tt0032762,The Mark of Zorro,The Mark of Zorro,0,1940,94
